BuildingType,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,PrimaryPropertyType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),SteamUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ComplianceStatus
NonResidential,47.6122,-122.33799,1927,12,0,88434,88434,0,Hotel,60,84.4,83.8,7465990,7408290,170.1,168.9,1145355,3907951,14101,1410145,2090193,196.4,2.2,Compliant
NonResidential,47.61317,-122.33393,1996,11,1,103566,88502,15064,Hotel,71,90,89.2,7962964,7897345,151.2,150.4,840157,2866615,50307,5030730,0,274.8,3.1,Compliant
NonResidential,47.61393,-122.3381,1969,41,3,956110,759392,196718,Hotel,64,89,88.2,67336376,66755536,200.6,199.7,13028620,44453651,14503,1450300,20851598,1304.2,1.7,Compliant
NonResidential,47.61412,-122.33664,1926,10,0,61320,61320,0,Hotel,39,121.1,120,7426193,7360236,209,206,769653,2626057,27306,2730608,2003570,258.5,4.2,Compliant
NonResidential,47.61375,-122.34047,1980,18,0,175580,113580,62000,Hotel,81,107.4,106.4,13261917,13134094,179.6,179.1,1392492,4751183,83829,8382912,0,457.9,4,Compliant
Nonresidential COS,47.61623,-122.33657,1999,2,1,97288,60090,37198,Police Station,,284,277.2,14414122,14070776,575.7,570.7,2376581,8108894,59619,5961883,0,338.3,5.6,Compliant
NonResidential,47.6139,-122.33283,1926,11,0,83008,83008,0,Hotel,53,72.9,71.2,5928950,5791972,131.6,129.1,740400,2526245,32657,3265727,0,180.2,2.2,Compliant
NonResidential,47.61327,-122.33136,1926,8,0,102761,102761,0,Other - Entertainment/Public Assembly,,68.7,66.7,7056452,6852434,149.2,146.8,1268772,4329050,4391,439080,2084303,145.7,1.4,Compliant
NonResidential,47.60294,-122.33263,1904,15,0,163984,163984,0,Hotel,64,93.7,92.1,15372180,15107016,168.6,166.1,1905163,6500416,86066,8606600,0,474.4,2.9,Compliant
Multifamily MR (5-9),47.60284,-122.33184,1910,6,0,63712,62216,1496,Multifamily Housing,14,93.7,90.8,5742266,5562718,177.3,173.8,754990,2576024,9975,997455,1989239,165.6,2.7,Compliant
NonResidential,47.60695,-122.33414,1969,11,0,153163,133884,19279,Hotel,48,120,118.3,16059593,15833285,206.3,204.9,1662347,5671928,44299,4429862,5731494,555.1,4.1,Compliant
NonResidential,47.60738,-122.33362,1998,25,0,333176,272015,61161,Hotel,38,92.3,92.4,26950742,26981740,208,208.6,5311972,18124448,30510,3051000,5806291,519.1,1.9,Not Compliant
